placeID,name,link,address,open_time,price_range,average_score,total_review
1,7 Kỳ Quan - Dimsum & Món Hoa,https://www.foody.vn/ho-chi-minh/7-ky-quan-nha-hang-cafe,"Số 12 Đường 26, P. 11,  Quận 6, TP. HCM",08:30 AM - 10:30 PM,40.000đ - 1.100.000đ,7.2,65
2,Amigo Hữu Nghị Restaurant - Beefsteak & Grill,https://www.foody.vn/ho-chi-minh/amigo-restaurant,"55 - 57 Nguyễn Huệ, P. Bến Nghé,  Quận 1, TP. HCM",11:00 AM - 11:00 PM,200.000đ - 880.000đ,8.0,53
3,Ba Con Sóc - BBQ & Sushi - Lê Quang Định,https://www.foody.vn/ho-chi-minh/ba-con-soc-bbq-sushi,"82 - 84 Lê Quang Định, P. 14,  Quận Bình Thạnh, TP. HCM",,30.000đ - 165.000đ,7.0,450
4,Banana Chuối 7 Màu - Bingsu & Trái Cây,https://www.foody.vn/ho-chi-minh/banana-chuoi-7-mau,"35 Đông Hồ,  Quận 8, TP. HCM",07:30 AM - 10:30 PM,15.000đ - 75.000đ,7.2,50
5,Baoz Dimsum Restaurant - The Garden Mall,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-the-garden-mall,"Tầng Trệt The Garden Mall, 190 Hồng Bàng, P. 12,  Quận 5, TP. HCM",09:00 - 23:00,50.000đ - 200.000đ,6.6,21
6,Baoz Dimsum Restaurant,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant,"86 - 88 Nguyễn Tri Phương, P. 7,  Quận 5, TP. HCM",04:00 PM - 11:00 PM,50.000đ - 200.000đ,7.1,557
7,Beefsteak Hai Con Bò - Thống Nhất,https://www.foody.vn/ho-chi-minh/hai-con-bo-thong-nhat,"30 Thống Nhất,  Quận Thủ Đức, TP. HCM",Thứ 7 - CN & Lễ  06:30 AM - 10:30 PM,65.000đ - 110.000đ,6.9,77
8,Beefsteak Titi - Vũ Huy Tấn,https://www.foody.vn/ho-chi-minh/beefsteak-titi,"67/4/118 Vũ Huy Tấn, P. 3,  Quận Bình Thạnh, TP. HCM",10:00 AM - 09:30 PM,55.000đ - 110.000đ,6.7,785
9,BibimBap - Korean Food,https://www.foody.vn/ho-chi-minh/bibimbap-korean-food,"51 Đường D5, P. 25,  Quận Bình Thạnh, TP. HCM",09:30 AM - 09:30 PM,30.000đ - 145.000đ,6.8,161
10,Birdlove Cafe - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/birdlove-cafe-nguyen-huu-cau,"55/5 Nguyễn Hữu Cầu, xã Trung Chánh,  Hóc Môn, TP. HCM",07:00 AM - 10:00 PM,20.000đ - 50.000đ,7.3,41
11,Boom Dak - Nhà Hàng Ẩm Thực Gà Hàn Quốc,https://www.foody.vn/ho-chi-minh/nha-hang-am-thuc-ga-boom-dak,"16 Lê Quý Đôn,  Quận 3, TP. HCM",Trưa - Tối  11:00 AM - 10:00 PM,50.000đ - 490.000đ,7.4,584
12,Buffet Béo 99k,https://www.foody.vn/ho-chi-minh/buffet-beo-99k,"6 Tăng Nhơn Phú, P. Phước Long B,  Quận 9, TP. HCM",,75.000đ - 99.000đ,7.8,22
13,Buffet Sea - Parkson Flemington,https://www.foody.vn/ho-chi-minh/buffet-sea,"Tầng B1 Parkson Flemington,184 Lê Đại Hành, P. 15,  Quận 11, TP. HCM",,90.000đ - 209.000đ,6.6,107
14,Buffet Windsor - Cafe Central An Dong - Windsor Plaza,https://www.foody.vn/ho-chi-minh/buffet-windsor-cafe-central-an-dong-windsor-plaza,"Windsor Plaza, 18 An Dương Vương,  Quận 5, TP. HCM",Ala carte menu  06:00 AM - 10:00 PM,449.000đ - 853.000đ,7.4,141
15,Bunny Garden Grill - Vườn Nướng Chú Thỏ,https://www.foody.vn/ho-chi-minh/bunny-garden-grill-vuon-nuong-chu-tho,"Mũi Tàu Quốc Lộ 22 - Hương Lộ 2,  Củ Chi, TP. HCM",09:00 AM - 11:00 PM,45.000đ - 250.000đ,8.2,4
16,Busan Korean Food - Món Hàn Quốc - Đinh Tiên Hoàng,https://www.foody.vn/ho-chi-minh/busan-korean-food-mon-an-han,"5 Đinh Tiên Hoàng,  Quận Bình Thạnh, TP. HCM",10:00 - 22:30,40.000đ - 150.000đ,7.2,316
17,Buzza Pizza - Emart,https://www.foody.vn/ho-chi-minh/buzza-pizza-e-mart-go-vap,"Tầng trệt siêu thị Emart - 168 Phan Văn Trị, P. 5, Q.Gò Vấp,  Quận Gò Vấp, TP. HCM",08:30 AM - 10:00 PM,50.000đ - 200.000đ,7.9,240
18,Buzza Pizza - Nguyễn Trung Trực,https://www.foody.vn/ho-chi-minh/buzza-pizza,"5 - 7 - 9 Nguyễn Trung Trực,  Quận 1, TP. HCM",10:00 AM - 10:30 PM,49.000đ - 199.000đ,7.9,829
19,Bà Bắc - Bánh Tráng Cuốn Trộn,https://www.foody.vn/ho-chi-minh/ba-bac-banh-trang-cuon-tron,"40 Đường Số 11,  Quận 4, TP. HCM",10:00 AM - 10:00 PM,10.000đ - 33.000đ,6.9,283
20,Bánh Bao Thọ Phát - Nguyễn Tri Phương,https://www.foody.vn/ho-chi-minh/banh-bao-tho-phat,"78 Nguyễn Tri Phương, P. 7,  Quận 5, TP. HCM",05:00 AM - 11:59 PM,15.000đ - 33.000đ,6.8,393
21,Bánh Flan Quen Mà Lạ,https://www.foody.vn/ho-chi-minh/banh-flan-quen-ma-la,"195 - 210 Lê Quang Sung, P. 6,  Quận 6, TP. HCM",,6.000đ - 15.000đ,7.2,61
22,Bánh Tráng Kẹp Dì Hoa,https://www.foody.vn/ho-chi-minh/banh-trang-kep-di-hoa,"209/105 Tôn Thất Thuyết, P. 3,  Quận 4, TP. HCM",,5.000đ - 25.000đ,6.9,158
23,Bánh Tráng Nướng C002 - Đinh Tiên Hoàng,https://www.foody.vn/ho-chi-minh/banh-trang-nuong-c002-dinh-tien-hoang,"002 Lô C, Chung Cư 23/49 Đinh Tiên Hoàng, P. 3,  Quận Bình Thạnh, TP. HCM",,10.000đ - 23.000đ,7.1,239
24,Bánh Tráng Trộn Chú Viên,https://www.foody.vn/ho-chi-minh/banh-trang-tron-chu-vien,"38 Nguyễn Thượng Hiền, P. 5,  Quận 3, TP. HCM",01:00 PM - 07:00 PM,10.000đ - 22.000đ,6.6,639
25,Bánh Xèo Cô Thêm - Song Hành,https://www.foody.vn/ho-chi-minh/banh-xeo-co-them-tran-minh-quyen,"154 Song Hành,  Hóc Môn, TP. HCM",10:00 AM - 09:00 PM,30.000đ - 72.000đ,6.3,31
26,Béo Béo - Gà Cay Phô Mai,https://www.foody.vn/ho-chi-minh/beo-beo-ga-cay-pho-mai,"85 Chấn Hưng, P. 6,  Quận Tân Bình, TP. HCM",,5.000đ - 50.000đ,6.8,231
27,Bò Tơ Trường Lạc,https://www.foody.vn/ho-chi-minh/bo-to-truong-lac,"Trung Lập,  Củ Chi, TP. HCM",10:30 AM - 09:30 PM,100.000đ - 220.000đ,7.7,13
28,Bò Tơ Tây Ninh Năm Sánh - Phạm Hùng,https://www.foody.vn/ho-chi-minh/bo-to-tay-ninh-nam-sanh-pham-hung,"C3/21T  Phạm Hùng,  Quận 8, TP. HCM",10:00 AM - 11:00 PM,50.000đ - 200.000đ,7.6,54
29,Bò Tơ Vĩnh Xuân ,https://www.foody.vn/ho-chi-minh/bo-to-vinh-xuan,"QL 22 Tân Thông Hội,  Củ Chi, TP. HCM",08:00 AM - 10:00 PM,80.000đ - 100.000đ,7.6,6
30,Bò Tơ Xuân Anh - Củ Chi,https://www.foody.vn/ho-chi-minh/bo-to-xuan-anh-cu-chi,"79 Tỉnh Lộ 8, Ấp Tây, Xã An Hội,  Củ Chi, TP. HCM",08:00 AM - 10:00 PM,100.000đ - 220.000đ,6.6,10
31,Bò Tơ Xuân Đào - Bò Tơ Củ Chi,https://www.foody.vn/ho-chi-minh/bo-to-xuan-dao,"KP2, Quốc Lộ 22,  Củ Chi, TP. HCM",07:00 AM - 09:00 PM,50.000đ - 220.000đ,7.0,49
32,Bún Đậu Homemade - Hồng Hà,https://www.foody.vn/ho-chi-minh/bun-dau-mam-tom,"6 Hồng Hà, P. 2,  Quận Tân Bình, TP. HCM",10:00 AM - 10:00 PM,30.000đ - 110.000đ,6.9,482
33,Bún Lá,https://www.foody.vn/ho-chi-minh/bun-la,"976 Lê Văn Lương, Xã Phước Kiểng,  Nhà Bè, TP. HCM",10:00 AM - 10:00 PM,25.000đ - 45.000đ,7.8,12
34,Cafe Central Nguyen Hue - Sunwah Tower,https://www.foody.vn/ho-chi-minh/cafe-central-nguyen-hue,"Sun Wah Tower, 115 Nguyễn Huệ,  Quận 1, TP. HCM",07:00 AM - 11:59 PM,50.000đ - 330.000đ,6.9,61
35,Cafe Comma - Cafe Sách & Boardgame,https://www.foody.vn/ho-chi-minh/comma-cafe,"653 Lê Văn Lương, P. Tân Phong,  Quận 7, TP. HCM",09:00 AM - 10:00 PM,25.000đ - 70.000đ,8.1,191
36,Carrot - Cần Giờ,https://www.foody.vn/ho-chi-minh/carrot-can-gio,"Khu Bãi Biển 30 Tháng 4, X. Long Hòa,  Cần Giờ, TP. HCM",08:00 AM - 10:30 PM,100.000đ - 275.000đ,8.8,2
